[2025-09-28 21:21:28] Starting CBNE base run
[2025-09-28 21:21:28] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-2.graphml
[2025-09-28 21:21:28] Spectral gap: 0.5
[2025-09-28 21:21:28] Dimension (k): 1
[2025-09-28 21:21:28] One norm: 1.5
[2025-09-28 21:21:28] Walk length (z): 6
[2025-09-28 21:21:28] Planned samples: 7813
[2025-09-28 21:21:28] Seed set to 789
[2025-09-28 21:21:29] Iteration 781/7813 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:30] Iteration 1562/7813 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:30] Iteration 2343/7813 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:31] Iteration 3124/7813 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:31] Iteration 3905/7813 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:32] Iteration 4686/7813 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:33] Iteration 5467/7813 | progress 70.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:21:33] Iteration 6248/7813 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:34] Iteration 7029/7813 | progress 90.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:35] Iteration 7810/7813 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:35] Iteration 7813/7813 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:21:35] Completed run in 6.1877 seconds, estimate=0.5904522110584922
