[2025-09-28 21:45:45] Starting CBNE base run
[2025-09-28 21:45:45] Graph: ../../../quantinuum/CBNE/graphs/Graph-3.graphml
[2025-09-28 21:45:45] Spectral gap: 0.3333333333333333
[2025-09-28 21:45:45] Dimension (k): 2
[2025-09-28 21:45:45] One norm: 1.3333333333333333
[2025-09-28 21:45:45] Walk length (z): 6
[2025-09-28 21:45:45] Planned samples: 9767
[2025-09-28 21:45:45] Seed set to 123
[2025-09-28 21:45:46] Iteration 976/9767 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:47] Iteration 1952/9767 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:48] Iteration 2928/9767 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:45:49] Iteration 3904/9767 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:50] Iteration 4880/9767 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:45:51] Iteration 5856/9767 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-28 21:45:52] Iteration 6832/9767 | progress 69.9% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:53] Iteration 7808/9767 | progress 79.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:45:54] Iteration 8784/9767 | progress 89.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:45:55] Iteration 9760/9767 | progress 99.9% | value=5.618656 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:55] Iteration 9767/9767 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:45:55] Completed run in 9.7167 seconds, estimate=0.3307798733817541
