[2025-09-28 21:47:13] Starting CBNE base run
[2025-09-28 21:47:13] Graph: ../../../quantinuum/CBNE/graphs/Graph-3.graphml
[2025-09-28 21:47:13] Spectral gap: 0.3333333333333333
[2025-09-28 21:47:13] Dimension (k): 2
[2025-09-28 21:47:13] One norm: 1.3333333333333333
[2025-09-28 21:47:13] Walk length (z): 8
[2025-09-28 21:47:13] Planned samples: 4000
[2025-09-28 21:47:13] Seed set to 123
[2025-09-28 21:47:14] Iteration 400/4000 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0011s | iter_time=0.0012s
[2025-09-28 21:47:14] Iteration 800/4000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0011s | iter_time=0.0011s
[2025-09-28 21:47:15] Iteration 1200/4000 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-28 21:47:15] Iteration 1600/4000 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-28 21:47:16] Iteration 2000/4000 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-28 21:47:16] Iteration 2400/4000 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-28 21:47:17] Iteration 2800/4000 | progress 70.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0011s | iter_time=0.0012s
[2025-09-28 21:47:17] Iteration 3200/4000 | progress 80.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0013s | iter_time=0.0014s
[2025-09-28 21:47:18] Iteration 3600/4000 | progress 90.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0011s | iter_time=0.0011s
[2025-09-28 21:47:18] Iteration 4000/4000 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0011s | iter_time=0.0011s
[2025-09-28 21:47:18] Completed run in 5.1796 seconds, estimate=0.3046559975613469
