[2025-09-28 21:46:14] Starting CBNE base run
[2025-09-28 21:46:14] Graph: ../../../quantinuum/CBNE/graphs/Graph-3.graphml
[2025-09-28 21:46:14] Spectral gap: 0.3333333333333333
[2025-09-28 21:46:14] Dimension (k): 2
[2025-09-28 21:46:14] One norm: 1.3333333333333333
[2025-09-28 21:46:14] Walk length (z): 6
[2025-09-28 21:46:14] Planned samples: 9767
[2025-09-28 21:46:14] Seed set to 987
[2025-09-28 21:46:15] Iteration 976/9767 | progress 10.0% | value=-5.618656 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:46:16] Iteration 1952/9767 | progress 20.0% | value=5.618656 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:46:17] Iteration 2928/9767 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:46:18] Iteration 3904/9767 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-28 21:46:19] Iteration 4880/9767 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:46:20] Iteration 5856/9767 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:46:21] Iteration 6832/9767 | progress 69.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:46:22] Iteration 7808/9767 | progress 79.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:46:23] Iteration 8784/9767 | progress 89.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0011s | iter_time=0.0011s
[2025-09-28 21:46:24] Iteration 9760/9767 | progress 99.9% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-28 21:46:24] Iteration 9767/9767 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:46:24] Completed run in 9.7834 seconds, estimate=0.34688741504208254
