[2025-09-28 21:44:17] Starting CBNE base run
[2025-09-28 21:44:17] Graph: ../../../quantinuum/CBNE/graphs/Graph-3.graphml
[2025-09-28 21:44:17] Spectral gap: 0.3333333333333333
[2025-09-28 21:44:17] Dimension (k): 2
[2025-09-28 21:44:17] One norm: 1.3333333333333333
[2025-09-28 21:44:17] Walk length (z): 6
[2025-09-28 21:44:17] Planned samples: 4000
[2025-09-28 21:44:17] Seed set to 456
[2025-09-28 21:44:17] Iteration 400/4000 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0010s | iter_time=0.0010s
[2025-09-28 21:44:18] Iteration 800/4000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:18] Iteration 1200/4000 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:44:19] Iteration 1600/4000 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:19] Iteration 2000/4000 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:19] Iteration 2400/4000 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:44:20] Iteration 2800/4000 | progress 70.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:44:20] Iteration 3200/4000 | progress 80.0% | value=-5.618656 | sample_time=0.0001s | chain_time=0.0010s | iter_time=0.0011s
[2025-09-28 21:44:21] Iteration 3600/4000 | progress 90.0% | value=5.618656 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:21] Iteration 4000/4000 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0010s | iter_time=0.0010s
[2025-09-28 21:44:21] Completed run in 4.0289 seconds, estimate=0.32026337448559833
