[2025-09-29 06:25:18] Starting CBNE base run
[2025-09-29 06:25:18] Graph: /Volumes/PData/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/sample_graphs/quantinuum/Graph-1.graphml
[2025-09-29 06:25:18] Spectral gap: 0.5
[2025-09-29 06:25:18] Dimension (k): 1
[2025-09-29 06:25:18] One norm: 1.3333333333333333
[2025-09-29 06:25:18] Walk length (z): 6
[2025-09-29 06:25:18] Planned samples: 16900
[2025-09-29 06:25:18] Seed set to 234
[2025-09-29 06:25:19] Iteration 1690/16900 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:20] Iteration 3380/16900 | progress 20.0% | value=5.618656 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:21] Iteration 5070/16900 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:22] Iteration 6760/16900 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:23] Iteration 8450/16900 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:25] Iteration 10140/16900 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:26] Iteration 11830/16900 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-29 06:25:27] Iteration 13520/16900 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:28] Iteration 15210/16900 | progress 90.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:29] Iteration 16900/16900 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:25:29] Completed run in 11.8831 seconds, estimate=0.455809287262269
