[2025-09-29 06:05:23] Starting CBNE base run
[2025-09-29 06:05:23] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 06:05:23] Spectral gap: 0.3333333333333333
[2025-09-29 06:05:23] Dimension (k): 2
[2025-09-29 06:05:23] One norm: 1.5
[2025-09-29 06:05:23] Walk length (z): 9
[2025-09-29 06:05:23] Planned samples: 4000
[2025-09-29 06:05:23] Seed set to 987
[2025-09-29 06:05:23] Iteration 400/4000 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:24] Iteration 800/4000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0015s | iter_time=0.0015s
[2025-09-29 06:05:25] Iteration 1200/4000 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:25] Iteration 1600/4000 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:26] Iteration 2000/4000 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0014s | iter_time=0.0015s
[2025-09-29 06:05:26] Iteration 2400/4000 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0014s | iter_time=0.0015s
[2025-09-29 06:05:27] Iteration 2800/4000 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:28] Iteration 3200/4000 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:28] Iteration 3600/4000 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0014s | iter_time=0.0015s
[2025-09-29 06:05:29] Iteration 4000/4000 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0014s | iter_time=0.0014s
[2025-09-29 06:05:29] Completed run in 6.0922 seconds, estimate=0.3652119140625
